station,time,train,platform,route,delayedTime,information,timestampScraping
Heidelberg,15:30,Bus 721,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:30 - Czernybrücke, Heidelberg 15:33 - Betriebshof, Heidelberg 15:35 - Neuenheim Jahnstraße, Heidelberg 15:37 - Neuenheim Bunsengymnasium Steig E, Heidelberg 15:38",,,2021-12-24 14:48:01.505268
Heidelberg,15:30,STR 22,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:30 - Bahnstadt Gadamerplatz, Heidelberg 15:31",15:30,,2021-12-24 14:48:01.506519
Heidelberg,15:31,S 5,4,Heidelberg Hbf 15:31 - Heidelberg-Weststadt/Südstadt 15:32,,,2021-12-24 14:48:01.507598
Heidelberg,15:31,S 51,4,Heidelberg Hbf 15:31 - Heidelberg-Weststadt/Südstadt 15:32,,,2021-12-24 14:48:01.508749
Heidelberg,15:31,Bus 720,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:31 - Montpellierbrücke B, Heidelberg 15:34 - SNP dome, Heidelberg 15:36 - Kirchheim Im Bieth, Heidelberg 15:38",,,2021-12-24 14:48:01.509981
Heidelberg,15:32,Bus 33,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:32 - Montpellierbrücke, Heidelberg 15:35 - Mary-Somerville-Platz (hip), Heidelberg 15:37 - Innovation Park (hip), Heidelberg 15:38",15:32,,2021-12-24 14:48:01.511243
Heidelberg,15:32,STR 24,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:32 - Betriebshof, Heidelberg 15:34",15:32,,2021-12-24 14:48:01.512615
Heidelberg,15:33,S 2,2,Heidelberg Hbf 15:33 - Heidelberg-Pfaffengrund/Wieblingen 15:35,15:35,,2021-12-24 14:48:01.513991
Heidelberg,15:33,Bus 34,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:33 - Betriebshof, Heidelberg 15:34 - Gneisenaustraße, Heidelberg 15:36 - Neckarspitze, Heidelberg 15:37",,,2021-12-24 14:48:01.515317
Heidelberg,15:34,Bus 20,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:34 -",15:34,Änderung im Fahrtverlauf!,2021-12-24 14:48:01.516849
Heidelberg,15:34,STR 22,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:34 - Montpellierbrücke, Heidelberg 15:36 - Ringstraße, Heidelberg 15:37 -",15:34,Änderung im Fahrtverlauf!,2021-12-24 14:48:01.518742
Heidelberg,15:35,Bus 20,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:35 - Betriebshof, Heidelberg 15:37 - Neuenheim Jahnstraße, Heidelberg 15:39 - Neuenheim Kirschnerstraße, Heidelberg 15:41",15:35,,2021-12-24 14:48:01.520797
Heidelberg,15:36,ICE 713,7,Heidelberg Hbf 15:36 - Vaihingen(Enz) 16:03 - Stuttgart Hbf 16:22,15:58,Grund: Reparatur an der Oberleitung,2021-12-24 14:48:01.522354
Heidelberg,15:36,Bus 32,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:36 -",15:36,Änderung im Fahrtverlauf!,2021-12-24 14:48:01.524352
Heidelberg,15:37,STR 26,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:37 - Bahnstadt Gadamerplatz, Heidelberg 15:38",15:37,,2021-12-24 14:48:01.526192
Heidelberg,15:37,RNV 5,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:37 - Gneisenaustraße Süd, Heidelberg 15:38",,,2021-12-24 14:48:01.528036
Heidelberg,15:38,RNV 5,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:38 - Stadtwerke, Heidelberg 15:39 -",15:38,Änderung im Fahrtverlauf!,2021-12-24 14:48:01.529974
Heidelberg,15:39,STR 24,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:39 - Stadtwerke, Heidelberg 15:40",15:39,,2021-12-24 14:48:01.531284
Heidelberg,15:40,STR 22,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:40 - Bahnstadt Gadamerplatz, Heidelberg 15:41",15:40,,2021-12-24 14:48:01.532641
Heidelberg,15:42,STR 26,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:42 - Rudolf-Diesel-Straße, Heidelberg 15:44 - Kirchheim Messplatz, Heidelberg 15:46 - Kirchheim Ilse-Krall-Straße, Heidelberg 15:47 - Kirchheim Albert-Fritz-Straße, Heidelberg 15:48 - Kirchheim Odenwaldstraße, Heidelberg 15:50 - Kirchheim Rathaus, Heidelberg (Halt entfällt) 15:51 - Kirchheim Friedhof, Heidelberg (Halt entfällt) 15:53",15:42,"Fährt heute nur bis Kirchheim Odenwaldstraße, Heidelberg",2021-12-24 14:48:01.534028
