station,time,train,platform,route,delayedTime,information,timestampScraping
Mannheim,15:19,RNV 4,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:19 - Universität, Mannheim 15:21",15:19,,2021-12-24 14:48:04.249384
Mannheim,15:20,Bus 710,"Hauptbahnhof ZOB (SteigE/F), Mannheim","Hauptbahnhof ZOB (SteigE/F), Mannheim 15:20 - Hochschule, Mannheim 15:25 - Neckarau Bahnhof, Mannheim 15:29 - Neckarau Kabel und Draht, Mannheim 15:30",,,2021-12-24 14:48:04.251023
Mannheim,15:21,TGV 9583,2,Mannheim Hbf 15:21 - Frankfurt(Main)Hbf 15:58,15:23,,2021-12-24 14:48:04.252831
Mannheim,15:22,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:22 - Lindenhof MA Hauptbahnhof Süd, Mannheim 15:24",,,2021-12-24 14:48:04.254452
Mannheim,15:23,ICE 713,8,Mannheim Hbf 15:23 - Heidelberg Hbf 15:34 - Vaihingen(Enz) 16:03 - Stuttgart Hbf 16:22,15:44,Grund: Reparatur an der Oberleitung,2021-12-24 14:48:04.255706
Mannheim,15:23,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:23 - Tattersall, Mannheim 15:25",,,2021-12-24 14:48:04.257207
Mannheim,15:24,Bus 60,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:24 - Kunsthalle, Mannheim 15:26 - Wasserturm, Mannheim 15:27 - Am Friedrichsplatz, Mannheim 15:29",,,2021-12-24 14:48:04.258632
Mannheim,15:24,Bus 63,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:24 - Kunsthalle, Mannheim 15:26 - Wasserturm, Mannheim 15:27 - Am Friedrichsplatz, Mannheim 15:29",15:24,Änderung im Fahrtverlauf!,2021-12-24 14:48:04.259998
Mannheim,15:25,RNV 4,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:25 - Kunsthalle, Mannheim 15:27",15:25,,2021-12-24 14:48:04.261266
Mannheim,15:26,S 1,1,Mannheim Hbf 15:26 - Ludwigshafen(Rhein) Mitte 15:28,15:27,,2021-12-24 14:48:04.262388
Mannheim,15:26,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:26 - Universität, Mannheim 15:28",,,2021-12-24 14:48:04.263575
Mannheim,15:26,RNV 5A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:26 - Kunsthalle, Mannheim 15:27",,,2021-12-24 14:48:04.264770
Mannheim,15:26,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:26 - Kunsthalle, Mannheim 15:28",,,2021-12-24 14:48:04.265968
Mannheim,15:28,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:28 - Kunsthalle, Mannheim 15:30",15:28,,2021-12-24 14:48:04.267373
Mannheim,15:28,RNV 5A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:28 - Universität, Mannheim 15:30 - Schloss, Mannheim 15:31 - Paradeplatz, Mannheim 15:33 - Marktplatz, Mannheim 15:35 - Abendakademie, Mannheim 15:37",,,2021-12-24 14:48:04.268670
Mannheim,15:28,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:28 - Universität, Mannheim 15:30",,,2021-12-24 14:48:04.269956
Mannheim,15:29,RNV 4A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:29 - Universität, Mannheim 15:31",15:29,,2021-12-24 14:48:04.271239
Mannheim,15:29,Bus 65,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:29 - Schloss, Mannheim 15:32 - Universität West, Mannheim 15:33 - Akademiestraße, Mannheim 15:34 - Teufelsbrücke, Mannheim 15:35 - Popakademie, Mannheim 15:36",,,2021-12-24 14:48:04.272614
Mannheim,15:30,S 3,11,Mannheim Hbf 15:30 - Mannheim-Friedrichsfeld Süd 15:37,15:31,,2021-12-24 14:48:04.273752
Mannheim,15:31,ICE 519,5,Mannheim Hbf 15:31 - Stuttgart Hbf 16:08 - Ulm Hbf 17:10 - Augsburg Hbf 17:53 - München-Pasing 18:18 - München Hbf 18:27,15:39,Grund: Reparatur an der Strecke,2021-12-24 14:48:04.274882
Mannheim,15:31,S 3,1,Mannheim Hbf 15:31 - Ludwigshafen(Rhein) Mitte 15:33,15:32,,2021-12-24 14:48:04.276003
Mannheim,15:32,ICE 596,2,Mannheim Hbf 15:32 - Frankfurt(Main)Hbf 16:08 - Fulda 17:07 - Eisenach 18:00 - Erfurt Hbf 18:26 - Leipzig Hbf 19:10 - Lutherstadt Wittenberg Hbf 19:46 - Berlin Südkreuz 20:22 - Berlin Hbf (tief) 20:29 - Berlin Gesundbrunnen 20:41,15:35,,2021-12-24 14:48:04.277170
Mannheim,15:32,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:32 - Lindenhof MA Hauptbahnhof Süd, Mannheim 15:34",15:32,,2021-12-24 14:48:04.278444
Mannheim,15:33,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:33 - Tattersall, Mannheim 15:35",,,2021-12-24 14:48:04.279659
Mannheim,15:33,Bus 60,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:33 - Universität, Mannheim 15:35 - Schloss, Mannheim 15:37 - Universität West, Mannheim 15:38",15:33,,2021-12-24 14:48:04.280907
Mannheim,15:33,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:33 - Tattersall, Mannheim 15:35 - Kopernikusstraße, Mannheim 15:37 - Krappmühlstraße, Mannheim 15:38",15:33,,2021-12-24 14:48:04.282110
Mannheim,15:35,RE 10a (19279),9,Mannheim Hbf 15:35 - Heidelberg Hbf 15:48 - Neckargemünd 15:59 - Eberbach 16:14 - Mosbach-Neckarelz 16:28 - Bad Friedrichshall Hbf 16:41 - Neckarsulm 16:46 - Heilbronn Hbf 16:51,15:35,,2021-12-24 14:48:04.283358
Mannheim,15:35,RE 70 (4572),7a,Mannheim Hbf 15:35 - Mannheim-Luzenberg 15:44 - Mannheim-Waldhof 15:46,,Gleiswechsel,2021-12-24 14:48:04.284764
Mannheim,15:35,ICE 371,4,Mannheim Hbf 15:35 - Karlsruhe Hbf 15:58 - Offenburg 16:30 - Freiburg(Breisgau) Hbf 17:00 - Basel Bad Bf 17:35 - Basel SBB 17:47 - Liestal 18:06 - Olten 18:25 - Bern 18:56 - Thun 19:23 - Spiez 19:33 - Interlaken West 19:52 - Interlaken Ost 19:58,15:37,Grund: Reparatur am Zug,2021-12-24 14:48:04.285961
Mannheim,15:35,RNV 9,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:35 - Berliner Platz, Ludwigshafen am Rhein 15:39",15:35,,2021-12-24 14:48:04.287695
Mannheim,15:36,ICE 106,3,Mannheim Hbf 15:36 - Frankfurt(M) Flughafen Fernbf 16:06 - Siegburg/Bonn 16:47 - Köln Hbf 17:04,15:36,,2021-12-24 14:48:04.289448
Mannheim,15:36,S 9,12,Mannheim Hbf 15:36 - Mannheim-Neckarau 15:39,,,2021-12-24 14:48:04.291159
Mannheim,15:36,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:36 - Universität, Mannheim 15:38",,,2021-12-24 14:48:04.292478
Mannheim,15:36,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:36 - Kunsthalle, Mannheim 15:38",,,2021-12-24 14:48:04.294296
Mannheim,15:38,S 1,11,Mannheim Hbf 15:38 - Mannheim ARENA/Maimarkt 15:42,15:39,,2021-12-24 14:48:04.295818
Mannheim,15:38,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:38 - Kunsthalle, Mannheim 15:40",,,2021-12-24 14:48:04.297464
Mannheim,15:38,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:38 - Universität, Mannheim 15:40",15:38,Änderung im Fahrtverlauf!,2021-12-24 14:48:04.299265
Mannheim,15:39,RE 1 (4129),1,Mannheim Hbf 15:39 - Ludwigshafen(Rh)Hbf 15:43 - Neustadt(Weinstr)Hbf 15:59,,,2021-12-24 14:48:04.300614
Mannheim,15:39,RNV 4,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:39 - Universität, Mannheim 15:41",,,2021-12-24 14:48:04.301913
Mannheim,15:42,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:42 - Lindenhof MA Hauptbahnhof Süd, Mannheim 15:44",,,2021-12-24 14:48:04.303057
Mannheim,15:43,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:43 - Tattersall, Mannheim 15:45",,,2021-12-24 14:48:04.304225
Mannheim,15:44,S 6,11,Mannheim Hbf 15:44 - Ludwigshafen(Rhein) Mitte 15:46,,,2021-12-24 14:48:04.305271
Mannheim,15:45,S 6,8,Mannheim Hbf 15:45 - Mannheim ARENA/Maimarkt 15:49,15:45,,2021-12-24 14:48:04.306297
Mannheim,15:45,RNV 4,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:45 - Kunsthalle, Mannheim 15:47",15:45,,2021-12-24 14:48:04.307434
Mannheim,15:46,STR 1,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:46 - Universität, Mannheim 15:48",,,2021-12-24 14:48:04.308778
Mannheim,15:46,RNV 5A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:46 - Kunsthalle, Mannheim 15:47",,,2021-12-24 14:48:04.309976
Mannheim,15:46,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:46 - Kunsthalle, Mannheim 15:48",,,2021-12-24 14:48:04.311256
Mannheim,15:47,RNV 9,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:47 - Tattersall, Mannheim 15:49",15:47,,2021-12-24 14:48:04.312573
Mannheim,15:48,STR 3,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:48 - Kunsthalle, Mannheim 15:50",15:48,,2021-12-24 14:48:04.313740
Mannheim,15:48,RNV 5A,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:48 - Universität, Mannheim 15:50 - Schloss, Mannheim 15:51 - Paradeplatz, Mannheim 15:53 - Marktplatz, Mannheim 15:55 - Abendakademie, Mannheim 15:57",,,2021-12-24 14:48:04.314876
Mannheim,15:48,RNV 5,"Hauptbahnhof, Mannheim","Hauptbahnhof, Mannheim 15:48 - Universität, Mannheim 15:50",,,2021-12-24 14:48:04.316116
